index,MAE,RMSE,MAPE,Series_Number
SVR,12.39544781,16.62395137,3.454529872,35
Deep Learning,13.76848412,17.99894376,3.929162753,35
XGBoost,0.008390274,0.010876569,0.002449485,35
Random Forest,3.56040837,5.029643597,0.995896592,35
LightGBM,1.446509866,1.880837374,0.415856859,35
SVR,11.84873618,15.66828701,3.300607699,36
Deep Learning,12.30620117,15.98909255,3.473100352,36
XGBoost,0.005283279,0.006861881,0.001516007,36
Random Forest,3.474346012,5.189136966,0.969147371,36
LightGBM,3.283241419,4.31728806,0.937492933,36
SVR,18.94588455,25.96023828,4.560123859,37
Deep Learning,20.28397812,26.95824233,4.95047447,37
XGBoost,0.203770142,0.257581093,0.051290978,37
Random Forest,5.214006213,7.629243222,1.284907774,37
LightGBM,1.842686901,2.492885695,0.453349097,37
SVR,22.70893272,29.50298134,5.115715406,38
Deep Learning,23.53224304,30.27163338,5.33394521,38
XGBoost,1.261384811,1.653012769,0.291357168,38
Random Forest,5.940030379,7.919632996,1.352354252,38
LightGBM,4.598710274,6.71621952,1.014614649,38
SVR,19.0940048,25.14246439,4.548586152,39
Deep Learning,19.73079178,25.67102147,4.706019612,39
XGBoost,2.364653854,3.064478006,0.572931359,39
Random Forest,3.399,4.603679398,0.811925702,39
LightGBM,4.522620795,6.225131981,1.066501779,39
SVR,16.83697261,23.30013412,3.783872416,40
Deep Learning,17.18127823,23.48689466,3.862590419,40
XGBoost,0.831671829,1.028096087,0.194670749,40
Random Forest,4.556977213,6.571089793,1.034041647,40
LightGBM,13.83111062,17.56150428,3.134889173,40
SVR,18.92667383,25.34495154,3.966322572,41
Deep Learning,19.63989166,25.76468146,4.126180938,41
XGBoost,0.009762115,0.01250747,0.00214368,41
Random Forest,4.982451793,7.53061317,1.051725675,41
LightGBM,3.123264698,4.235743872,0.66564019,41
SVR,16.91519038,22.31567701,3.804571028,42
Deep Learning,17.42673561,22.64596563,3.9147987,42
XGBoost,0.009101257,0.011904174,0.002116284,42
Random Forest,2.9539,4.132119795,0.664484661,42
LightGBM,2.475475488,3.20454975,0.55009814,42
SVR,12.39356305,16.35820079,4.104962928,43
Deep Learning,13.16450066,17.11272376,4.416936327,43
XGBoost,0.606091042,0.802420243,0.204788225,43
Random Forest,3.903415159,5.779484332,1.298210007,43
LightGBM,1.677320012,2.147068629,0.561728916,43
